Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
Antonio’s Trattoria,Belmont,"Italian, Pizza, Desserts",4.5,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/antonios-trattoria-bronx?osq=Restaurants,https://www.yelp.com/biz/b6jOwyX4iaagw8YjXqq1sA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
Izakaya Nana,Downtown Flushing,Izakaya,4.5,"× Outdoor seating, × Delivery, × Takeout",$$$,https://www.yelp.com/biz/izakaya-nana-flushing?osq=Restaurants,https://www.yelp.com/reservations/izakaya-nana-flushing,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
KPOT Korean BBQ & Hot Pot,,"Korean, Barbeque, Hot Pot",3.8,× Delivery,,https://www.yelp.com/biz/kpot-korean-bbq-and-hot-pot-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
Enzos of Arthur Avenue,Belmont,"Italian, Pizza, Venues & Event Spaces",3.9,"√ Outdoor seating, √ Takeout",$$,https://www.yelp.com/biz/enzos-of-arthur-avenue-bronx-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
The Bronx Public,,"Sports Bars, American (Traditional)",4.1,"√ Delivery, √ Takeout",$$,https://www.yelp.com/biz/the-bronx-public-bronx?osq=Restaurants,https://www.yelp.com/biz/KAxYFGyOQ7ysCmYmh8jKtw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
Johnny’s Reef Restaurant,,Seafood,3.8,"√ Outdoor seating, √ Takeout",$$,https://www.yelp.com/biz/johnnys-reef-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
La Masa,Morris Park,"Colombian, Empanadas",3.9,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/la-masa-bronx-3?osq=Restaurants,https://www.yelp.com/biz/By2Zl1imtu0SpA4IBziN1g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
Bed - Stuy Fish Fry,Co-op City,Soul Food,3.0,,,https://www.yelp.com/biz/bed-stuy-fish-fry-the-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
Fiorentina Steakhouse,Schuylerville,Steakhouses,4.8,"× Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/fiorentina-steakhouse-the-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
D Melting Pot,Morris Park,"American (Traditional), Juice Bars & Smoothies, Seafood",4.6,"√ Delivery, √ Takeout",,https://www.yelp.com/biz/d-melting-pot-the-bronx-2?osq=Restaurants,https://www.yelp.com/biz/ZwgAlbZ3_ZQlsWJib6RzcA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY
Hudson Smokehouse,Mott Haven,"Barbeque, Steakhouses",4.0,"√ Delivery, √ Takeout",$$,https://www.yelp.com/biz/hudson-smokehouse-bronx?osq=Restaurants,https://www.yelp.com/biz/QAMCE2DqumRQqa51hqmpkQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Bronx Drafthouse,Concourse Village,"American (New), Beer Bar, Sports Bars",4.0,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/bronx-drafthouse-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Taqueria Tlaxcalli,Parkchester,Mexican,4.4,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/taqueria-tlaxcalli-bronx-3?osq=Restaurants,https://www.yelp.com/biz/2iqsjuh8Mpm_3p6s-G9zkQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
The Rail House 10803,,"American (Traditional), Bars, Venues & Event Spaces",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/the-rail-house-10803-pelham?osq=Restaurants,https://www.yelp.com/biz/KYcrVvKkzuZBlASj35Q16w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Sofun Noodle Bar,Long Island City,Noodles,4.2,"√ Delivery, √ Takeout",,https://www.yelp.com/biz/sofun-noodle-bar-queens?osq=Restaurants,https://www.yelp.com/biz/Z_DdD4feQFczFOyOysZAOw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
The Boogie Down Grind,Longwood,"Coffee & Tea, Cafes, Beer, Wine & Spirits",4.6,"√ Outdoor seating, √ Delivery, √ Takeout",$,https://www.yelp.com/biz/the-boogie-down-grind-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Bronx Alehouse,Kingsbridge,"American (Traditional), Pubs",4.2,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/bronx-alehouse-bronx-2?osq=Restaurants,https://www.yelp.com/biz/ciHt5n5rmpby1YcC_6JVrg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Lechonera La Piraña,Mott Haven,Puerto Rican,4.7,"√ Delivery, √ Takeout",$,https://www.yelp.com/biz/lechonera-la-pira%C3%B1a-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Tobalá,Riverdale,"Mexican, Cocktail Bars",4.5,"√ Outdoor seating, √ Takeout",,https://www.yelp.com/biz/tobal%C3%A1-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Con Sofrito,Unionport,"American (Traditional), Puerto Rican, Chicken Wings",3.7,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/con-sofrito-bronx?osq=Restaurants,https://www.yelp.com/biz/ti-anrkwIIBd_L7fT9gKQA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10
Dominick’s Restaurant,Belmont,Italian,3.8,"√ Outdoor seating, × Delivery, √ Takeout",$$,https://www.yelp.com/biz/dominicks-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Nana’s Kitchen,Morris Park,Mediterranean,4.5,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/nanas-kitchen-bronx?osq=Restaurants,https://www.yelp.com/biz/sri-S6YRQ32XsvdO-EB3IA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Pepe’s Place,,"Seafood, Fish & Chips, Soul Food",4.7,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/pepes-place-new-rochelle?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Ajo & Oregano,Parkchester,Dominican,3.5,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/ajo-and-oregano-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Archie’s Tap & Table,City Island,"American (New), Gastropubs, Breakfast & Brunch",4.5,"√ Outdoor seating, √ Takeout",$$,https://www.yelp.com/biz/archies-tap-and-table-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Sazon Stizzy,,Latin American,4.6,,,https://www.yelp.com/biz/sazon-stizzy-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Fish N’ Ting,Eastchester,"Caribbean, Seafood, Bars",4.0,"√ Delivery, √ Takeout",$$,https://www.yelp.com/biz/fish-n-ting-bronx?osq=Restaurants,https://www.yelp.com/biz/rkYATACY4qzaVFapJTWj4Q?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Tacos El Bronco II,Pelham Gardens,"Mexican, Food Trucks",4.5,"√ Delivery, √ Takeout",$,https://www.yelp.com/biz/tacos-el-bronco-ii-bronx?osq=Restaurants,https://www.yelp.com/biz/NOUujFVP_d4XBrJqTra55A?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Unique Fusion Restaurant,Inwood,"Asian Fusion, Thai",4.8,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/unique-fusion-restaurant-new-york-2?osq=Restaurants,https://www.yelp.com/biz/CY1lJBQatCNo4-_ljlS1rA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Oasis Mediterranean Restaurant,,Middle Eastern,3.8,"√ Delivery, √ Takeout",$$,https://www.yelp.com/biz/oasis-mediterranean-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20
Tacos El Bronco II,Pelham Gardens,"Mexican, Food Trucks",4.5,"√ Delivery, √ Takeout",$,https://www.yelp.com/biz/tacos-el-bronco-ii-bronx?osq=Restaurants,https://www.yelp.com/biz/NOUujFVP_d4XBrJqTra55A?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Unique Fusion Restaurant,Inwood,"Asian Fusion, Thai",4.8,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/unique-fusion-restaurant-new-york-2?osq=Restaurants,https://www.yelp.com/biz/CY1lJBQatCNo4-_ljlS1rA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Oasis Mediterranean Restaurant,,Middle Eastern,3.8,"√ Delivery, √ Takeout",$$,https://www.yelp.com/biz/oasis-mediterranean-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Aqua Bar & Grill,Belmont,"Latin American, Cocktail Bars, Caribbean",3.5,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/aqua-bar-and-grill-the-bronx?osq=Restaurants,https://www.yelp.com/biz/1JShIY9vNv8fZ0VH9jR0tg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Emilia’s Restaurant,Belmont,Italian,3.8,"√ Outdoor seating, × Delivery, √ Takeout",$$,https://www.yelp.com/biz/emilias-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Clinton Hall Bronx,Belmont,"Beer Gardens, Bars, American (Traditional)",4.0,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/clinton-hall-bronx-bronx-2?osq=Restaurants,https://www.yelp.com/biz/2O5w-15_AVnnVJEtlWWE_A?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
La Casa De Frida,Norwood,"New Mexican Cuisine, American (New), Dominican",3.9,√ Outdoor seating,,https://www.yelp.com/biz/la-casa-de-frida-bronx-2?osq=Restaurants,https://www.yelp.com/biz/wjEtvT8LmxQkPdiVMKjxIA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Fine Food Cuisine,West Farms,American (New),4.0,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/fine-food-cuisine-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Çakor Restaurant,Belmont,Mediterranean,4.7,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/%C3%A7akor-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Fratelli,Pelham Gardens,"Italian, Seafood",4.2,"√ Delivery, √ Takeout",$$,https://www.yelp.com/biz/fratelli-bronx?osq=Restaurants,https://www.yelp.com/biz/F3Zznc4UYAfbdiTgb09-NA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=30
Chocobar Cortes,Mott Haven,"Chocolatiers & Shops, Cocktail Bars, Breakfast & Brunch",4.7,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/chocobar-cortes-south-bronx-2?osq=Restaurants,https://www.yelp.com/biz/uU8e4UHOqlGgPtOuaVW0dg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
The Original Crab Shanty Restaurant,City Island,"Seafood, Italian, American (Traditional)",3.6,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/the-original-crab-shanty-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=40
