Opening Hours,Popular Dishes,Detailed Address
"['Mon: 11:30 AM - 9:00 PM', 'Tue: 11:30 AM - 9:00 PM', 'Wed: 11:30 AM - 9:00 PM', 'Thu: 11:30 AM - 9:00 PM', 'Fri: 11:30 AM - 10:00 PM', 'Sat: 11:30 AM - 10:00 PM', 'Sun: 12:00 PM - 8:15 PM']","['Short Ribs', 'Veal Meatballs', 'Fried Calamari', 'Chicken Parm', 'Frutti Di Mare', 'Nutella Pizza', 'Gnocchi Alla Boscaiola', 'Baked Clams', 'Chicken Parmigiana', 'Cold Antipasto', 'Fettuccine Alfredo', 'Shrimp Scampi', 'Eggplant Parm', 'Veal Marsala', 'Spaghetti and Meatballs', 'Margherita Pizza', 'Hot Antipasto', 'Fresh Pasta Alfredo', 'Veal Saltimbocca', 'Chicken Quattro Formaggi']","2370 Belmont AveBronx, NY 10458"
"['Mon: 4:00 PM - 2:00 AM (Next day)', 'Tue: 4:00 PM - 2:00 AM (Next day)', 'Wed: 4:00 PM - 2:00 AM (Next day)', 'Thu: 4:00 PM - 2:00 AM (Next day)', 'Fri: 4:00 PM - 2:00 AM (Next day)', 'Sat: 4:00 PM - 2:00 AM (Next day)', 'Sun: 4:00 PM - 2:00 AM (Next day)']",[],"141-26 Northern BlvdFlushing, NY 11354"
"['Mon: 12:00 PM - 10:30 PM', 'Tue: 12:00 PM - 10:30 PM', 'Wed: 12:00 PM - 10:30 PM', 'Thu: 12:00 PM - 10:30 PM', 'Fri: 12:00 PM - 11:30 PM', 'Sat: 12:00 PM - 11:30 PM', 'Sun: 12:00 PM - 10:30 PM']",[],"200 Baychester AveBay Plaza MallBronx, NY 10475"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 11:30 AM - 10:00 PM', 'Sat: 11:30 AM - 10:00 PM', 'Sun: 12:00 PM - 9:00 PM']","['Arthur Ave Pizza', 'Fried Meatballs', 'Chicken Parm', 'Chicken Parmigiana', 'Fried Calamari', 'Veal Parmigiana', 'Chocolate Mousse Cake', 'Rigatoni Bolognese', 'Linguine White Clam', 'Stuffed Artichoke', 'Bread Basket', 'Pasta Al Forno', 'Chilean Sea Bass', 'Cannoli', 'Chicken Francese']","2339 Arthur AveBronx, NY 10458"
"['Mon: 4:00 PM - 12:00 AM (Next day)', 'Tue: 4:00 PM - 12:00 AM (Next day)', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 1:00 AM (Next day)', 'Fri: 4:00 PM - 2:00 AM (Next day)', 'Sat: 12:00 PM - 2:00 AM (Next day)', 'Sun: 12:00 PM - 12:00 AM (Next day)']",[],"170 W 231st StBronx, NY 10463"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:30 PM', 'Wed: 11:30 AM - 10:30 PM', 'Thu: 11:30 AM - 10:30 PM', 'Fri: 11:30 AM - 11:30 PM', 'Sat: 11:30 AM - 11:30 PM', 'Sun: 11:30 AM - 10:30 PM']","['Fried Shrimp', 'Fried Lobster Tails', 'Rum Pina Colada', 'Soft Shell Crab', 'Clam Chowder', 'Pina Coladas', 'Fried Fish', 'Raw Clams', 'Fried Scallops', 'Cherry Stone Clams', 'Frog Legs', 'Fried Calamari', 'Dozen Little Necks', 'Fried Clam Strips', 'Steamed Shrimp', 'Snow Crab Legs', 'Red Snapper', 'Steamed Clams', 'Fried Chicken Liver', 'Fried Whiting']","2 City Island AveBronx, NY 10464"
"['Mon: 10:00 AM - 9:00 PM', 'Tue: 10:00 AM - 9:00 PM', 'Wed: 10:00 AM - 9:00 PM', 'Thu: 10:00 AM - 11:00 PM', 'Fri: 10:00 AM - 11:00 PM', 'Sat: 10:00 AM - 11:00 PM', 'Sun: 10:00 AM - 9:00 PM']","['Empanadas', 'Maduro Relleno', 'Cilantro Lime Chicken', 'Apple Pie Empanada', 'Cache', 'Chicken Soup', 'Picada', 'Chicharron']","1000 Morris Park AveBronx, NY 10462"
[],"['Oxtails', 'Candied Yams', 'Fried Chicken', 'Baked Chicken', 'Fried Catfish', 'Shrimp Fried Rice']","2214 Bartow AveThe Bronx, NY 10475"
"['Mon: Closed', 'Tue: 12:00 PM - 9:30 PM', 'Wed: 12:00 PM - 9:30 PM', 'Thu: 12:00 PM - 9:30 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 9:00 PM']",[],"3617 E Tremont AveThe Bronx, NY 10465"
[],[],"2049 Williamsbridge RdThe Bronx, NY 10461"
