Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
Crab House Brooklyn All You Can Eat Seafood,Coney Island,"Seafood, Buffets, Cajun/Creole",4.3,"× Delivery, √ Takeout",$$$$,https://www.yelp.com/biz/crab-house-brooklyn-all-you-can-eat-seafood-brooklyn-4?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Macosa Trattoria,Bedford Stuyvesant,"Italian, Comfort Food",4.5,"√ Outdoor seating, × Delivery, √ Takeout",,https://www.yelp.com/biz/macosa-trattoria-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Brooklyn Residency,Bedford Stuyvesant,Cafes,4.3,"× Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/brooklyn-residency-brooklyn?osq=Restaurants,https://www.yelp.com/biz/5mISNN637bBiT42hQIaTSw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Altar,Crown Heights,"Cocktail Bars, Wine Bars, Tapas/Small Plates",4.5,"√ Outdoor seating, × Delivery, × Takeout",,https://www.yelp.com/biz/altar-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Trad Room,Bedford Stuyvesant,"Japanese, Sushi Bars, Cocktail Bars",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/trad-room-brooklyn-2?osq=Restaurants,https://www.yelp.com/biz/fHHpSKT9u7PQBYaMW5cEkA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Cornbread Brooklyn,Crown Heights,"Soul Food, Southern",4.3,× Outdoor seating,$$,https://www.yelp.com/biz/cornbread-brooklyn-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
The Ryerson,Crown Heights,"Cocktail Bars, American (Traditional)",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/the-ryerson-brooklyn?osq=Restaurants,https://www.yelp.com/biz/E8gpCgCVaO2hNEPTrh4n2A?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Secret Garden,Bedford Stuyvesant,"Cafes, Tea Rooms, Vegan",4.7,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/secret-garden-brooklyn-4?osq=Restaurants,https://www.yelp.com/biz/S3qnPndTrNlgJnf_5oOrag?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Bar Camillo,Bedford Stuyvesant,"Italian, Pizza, Beer, Wine & Spirits",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/bar-camillo-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Peaches HotHouse,Bedford Stuyvesant,"Southern, American (Traditional), Bars",3.9,"√ Outdoor seating, √ Delivery",$$,https://www.yelp.com/biz/peaches-hothouse-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY
Names,Prospect Lefferts Gardens,"Ramen, Beer, Wine & Spirits, Seafood",4.1,"√ Outdoor seating, × Delivery, √ Takeout",$$,https://www.yelp.com/biz/names-brooklyn-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10
Otis,East Williamsburg,"American (New), Cocktail Bars",4.8,"√ Outdoor seating, × Delivery, × Takeout",$$$,https://www.yelp.com/biz/otis-brooklyn-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10
Lowerline,Prospect Heights,"Cajun/Creole, Seafood, Southern",4.6,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/lowerline-brooklyn-2?osq=Restaurants,https://www.yelp.com/biz/swKXaURwqdSrSTcpHsxdbA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10
Three Maples,Bedford Stuyvesant,"Burgers, Cocktail Bars, American (New)",4.9,"× Outdoor seating, × Delivery, √ Takeout",,https://www.yelp.com/biz/three-maples-brooklyn-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10
Camillo,Prospect Lefferts Gardens,Italian,4.2,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/camillo-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10
Chavela’s,Crown Heights,"Mexican, Bars",3.9,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/chavelas-brooklyn-2?osq=Restaurants,https://www.yelp.com/biz/mhrLDFTxUzW2koRAzjlt5g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10
Agi’s Counter,Crown Heights,Hungarian,4.5,,,https://www.yelp.com/biz/agis-counter-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY&start=10
