Opening Hours,Popular Dishes,Detailed Address
"['Mon: 4:00 PM - 9:30 PM', 'Tue: 4:00 PM - 9:30 PM', 'Wed: 4:00 PM - 9:30 PM', 'Thu: 4:00 PM - 9:30 PM', 'Fri: 4:00 PM - 10:00 PM', 'Sat: 12:30 PM - 10:00 PM', 'Sun: 12:30 PM - 9:30 PM']",[],"1223 Surf AveBrooklyn, NY 11224"
"['Mon: Closed', 'Tue: 5:00 PM - 10:00 PM', 'Wed: 5:00 PM - 10:00 PM', 'Thu: 5:00 PM - 10:00 PM', 'Fri: 5:00 PM - 11:00 PM', 'Sat: 5:00 PM - 11:00 PM', 'Sun: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM']","['Oxtail Ragu', 'Olive Oil Cake', 'Burrata', 'Pappardelle Wild Boar Ragu', 'Fritto Misto', 'Seafood Frito Misto', 'Arancini', 'Rigatoni Pomodoro E Basilico', 'Fried Artichokes', 'Oxtail Pappardelle', 'Spagehtti Aglio Olio Peperoncino']","310 Tompkins AveBrooklyn, NY 11216"
"['Mon: 10:00 AM - 6:00 PM', 'Tue: 10:00 AM - 6:00 PM', 'Wed: 10:00 AM - 6:00 PM', 'Thu: 10:00 AM - 6:00 PM', 'Fri: 10:00 AM - 6:00 PM', 'Sat: 12:00 PM - 7:00 PM', 'Sun: 12:00 PM - 7:00 PM']","['Fried Chicken & Waffles Breakfast', 'Fried Fish & Grits Breakfast', 'Honey Jerk Wings & Waffles Breakfast']","346 Malcolm X BlvdBrooklyn, NY 11233"
"['Mon: 5:00 PM - 12:00 AM (Next day)', 'Tue: 5:00 PM - 12:00 AM (Next day)', 'Wed: 5:00 PM - 12:00 AM (Next day)', 'Thu: 5:00 PM - 2:00 AM (Next day)', 'Fri: 5:00 PM - 2:00 AM (Next day)', 'Sat: 2:00 PM - 2:00 AM (Next day)', 'Sun: 2:00 PM - 12:00 AM (Next day)']","['Inner Clarity', 'Holy Smoke', 'Duck Magret', 'Patatas Bravas', 'Lobster Rolls', 'Arctic Char', 'Cheeky Baby', 'Steak Tartare', 'Lemon Ricotta Pan Cakes', 'Poke', 'Whiskey Af', 'Sliders']","645 Sterling PlBrooklyn, NY 11238"
"['Mon: 12:00 PM - 3:00 PM 5:00 PM - 10:30 PM', 'Tue: 12:00 PM - 3:00 PM 5:00 PM - 10:30 PM', 'Wed: 12:00 PM - 3:00 PM 5:00 PM - 10:30 PM', 'Thu: 12:00 PM - 3:00 PM 5:00 PM - 10:30 PM', 'Fri: 12:00 PM - 3:00 PM 4:00 PM - 11:00 PM', 'Sat: 11:00 AM - 3:00 PM 4:00 PM - 11:00 PM', 'Sun: 11:00 AM - 3:00 PM 4:00 PM - 10:30 PM']","['Fried Chicken', 'Shrimp Burger', 'Crispy Spicy Tuna', 'Shishito', 'Cucumber Salad', 'Shachihoko Tempura Roll', 'Crab Roll', 'Lamb Dumplings', 'Pork Cutlet', 'Dragon Roll', 'Shrimp Tempura', 'Brussels', 'Matcha Tiramisu', 'West Coast Oysters', 'Spicy Salmon Bowl', 'Seared Salmon Bowl', 'Eel Avocado Roll', 'Beef Carpaccio', 'Skirt Steak', 'White']","266 Malcolm X BlvdBrooklyn, NY 11233"
"['Mon: 11:00 AM - 10:00 PM', 'Tue: 11:00 AM - 10:00 PM', 'Wed: 11:00 AM - 10:00 PM', 'Thu: 11:00 AM - 10:00 PM', 'Fri: 11:00 AM - 10:00 PM', 'Sat: 11:00 AM - 10:00 PM', 'Sun: 11:00 AM - 10:00 PM']","['Fried Chicken', 'Turkey Wings', 'Fried Catfish', 'Uptown', 'Southern Twang', 'Yellow Rice', 'Baked Chicken', 'Piece Chicken', 'Candied Yams', 'Fried Whiting']","409 Eastern PkwyNew York, NY 11216"
"['Mon: 4:00 PM - 12:00 AM (Next day)', 'Tue: 4:00 PM - 12:00 AM (Next day)', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 12:00 AM (Next day)', 'Fri: 12:00 PM - 1:00 AM (Next day)', 'Sat: 11:00 AM - 1:00 AM (Next day)', 'Sun: 11:00 AM - 12:00 AM (Next day)']","['Fried Chicken', 'Deviled Eggs', 'Pork Candy', 'Ryerson Double Burger', 'Blueberry Hot Honey', 'Hot Chicken', 'Blue Crab', 'Fish and Chips', 'Classics', 'Chocolate Chess Pie', 'Beyond Burger', 'Spare Ribs', 'Oysters']","698 Nostrand AveBrooklyn, NY 11216"
"['Mon: Closed', 'Tue: 12:00 PM - 8:00 PM', 'Wed: 12:00 PM - 8:00 PM', 'Thu: 12:00 PM - 8:00 PM', 'Fri: 12:00 PM - 8:00 PM', 'Sat: 12:00 PM - 9:00 PM', 'Sun: 9:00 AM - 7:00 PM']","['Honey Ginger Matcha', 'Vegan Philly Cheesesteak', 'Sunshine', 'Vegan Chickpea Sandwich', 'Cheese Steak', 'Coconut Roll', 'Zodiac', 'Heartbeat']","347 Lewis AveBrooklyn, NY 11233"
"['Mon: 5:00 PM - 10:00 PM', 'Tue: 5:00 PM - 10:00 PM', 'Wed: 5:00 PM - 10:00 PM', 'Thu: 5:00 PM - 10:00 PM', 'Fri: 5:00 PM - 10:00 PM', 'Sat: 5:00 PM - 10:00 PM', 'Sun: 5:00 PM - 10:00 PM']","['Meatballs', 'Cacio E Pepe', 'Salsiccia', 'Funghi Pinsa Wild Mushrooms', 'Margherita Pizza', 'Pesto Lasagna', 'Focaccia', 'Carciofi', 'Capricciosa', 'Pinsa Special']","333 Tompkins AveBrooklyn, NY 11216"
"['Mon: 11:00 AM - 10:00 PM', 'Tue: 11:00 AM - 10:00 PM', 'Wed: 11:00 AM - 10:00 PM', 'Thu: 11:00 AM - 10:00 PM', 'Fri: 11:00 AM - 11:00 PM', 'Sat: 11:00 AM - 11:00 PM', 'Sun: 11:00 AM - 10:00 PM']","['Fried Chicken', 'Hot Chicken', 'Extra Hot', 'Chicken Sandwich', 'French Toast', 'Hot "" Ist Wirklich "" Hot', 'Fried Shrimp', 'BBQ Shrimp', 'Spicy Chicken', 'Fried Catfish', 'Sweet Bourbon Cake', 'Shrimp Sandwich', 'Blackened Catfish', 'Grilled Broccoli']","415 Tompkins AveBrooklyn, NY 11216"
