Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL,Opening Hours,Popular Dishes,Detailed Address
Bloom Botanical Bistro,Forest Hills,"American (New), Cocktail Bars, Vegetarian",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/bloom-botanical-bistro-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,"Mon: 4:00 PM - 12:00 AM (Next day), Tue: Closed, Wed: 4:00 PM - 12:00 AM (Next day), Thu: 4:00 PM - 2:00 AM (Next day), Fri: 4:00 PM - 2:00 AM (Next day), Sat: 11:00 AM - 2:00 AM (Next day), Sun: 11:00 AM - 12:00 AM (Next day)",,"103-19 Metropolitan AveQueens, NY 11375"
Sofun Noodle Bar,Long Island City,Noodles,4.2,"allow Delivery, allow Takeout",,https://www.yelp.com/biz/sofun-noodle-bar-queens?osq=Restaurants,https://www.yelp.com/biz/Z_DdD4feQFczFOyOysZAOw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,,,"4340 12th StQueens, NY 11101"
Paratha Wala,Forest Hills,"Indian, Halal, Bangladeshi",4.6,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/paratha-wala-forest-hills-2?osq=Restaurants,https://www.yelp.com/reservations/paratha-wala-forest-hills-2,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,,,Not Found
Nick’s Bistro,Forest Hills,"Greek, Falafel, Seafood",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/nick-s-bistro-forest-hills?osq=Restaurants,https://www.yelp.com/biz/JT-0_-OqmBLYzEvRhU-__w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,"Mon: 11:30 AM - 10:00 PM, Tue: 11:30 AM - 10:00 PM, Wed: 11:30 AM - 10:00 PM, Thu: 11:30 AM - 10:00 PM, Fri: 11:30 AM - 10:30 PM, Sat: 11:00 AM - 10:30 PM, Sun: 11:00 AM - 9:30 PM",,"104-20 Metropolitan AveForest Hills, NY 11375"
Lime & Salt,,"New Mexican Cuisine, Mexican",4.4,"not allow Outdoor seating, allow Takeout",,https://www.yelp.com/biz/lime-and-salt-queens-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,"Mon: 11:30 AM - 11:00 PM, Tue: 3:00 PM - 11:00 PM, Wed: 3:00 PM - 11:00 PM, Thu: 11:30 AM - 11:00 PM, Fri: 11:30 AM - 1:00 AM (Next day), Sat: 11:30 AM - 1:00 AM (Next day), Sun: 11:30 AM - 11:00 PM","Buttermilk Chicken Sandwich, Lime and Salt Shrimp Fajitas, Lime and Salt Steak Fajitas","98-102 Queens BlvdQueens, NY 11374"
Carla,Long Island City,"American (New), Burgers, Cocktail Bars",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/carla-long-island-city?osq=Restaurants,https://www.yelp.com/biz/uQ0kF3fiJFDm0oDVRaMBkw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,"Mon: 12:00 PM - 10:00 PM, Tue: 12:00 PM - 10:00 PM, Wed: 12:00 PM - 10:00 PM, Thu: 12:00 PM - 10:00 PM, Fri: 12:00 PM - 11:00 PM, Sat: 12:00 PM - 11:00 PM, Sun: 12:00 PM - 10:00 PM",,"25-03 40th AvenueLong Island City, NY 11101"
Selo,Astoria,Modern European,4.8,"allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/selo-astoria?osq=Restaurants,https://www.yelp.com/biz/o-N9S05IjZdEdzdO6DB3Bw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,"Mon: 12:00 PM - 11:00 PM, Tue: 12:00 PM - 11:00 PM, Wed: 12:00 PM - 11:00 PM, Thu: 12:00 PM - 11:00 PM, Fri: 12:00 PM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 11:00 PM","Cevapi, Homemade Istrian Gnocchi, Grilled Octopus, Branzino, Gurmanska, Urnebes, Chicken with Mlinci, Fuzi Pasta with Veal, Chicken Wrapped in Bacon, Fried Calamari, Princes Krofne, Savory Ustipci, Stuffed Calamari, Chicken Soup","33-05 BroadwayAstoria, NY 11106"
Inca Paisa Astoria,Astoria,"Peruvian, Colombian",5.0,"allow Delivery, allow Takeout",,https://www.yelp.com/biz/inca-paisa-astoria-queens-2?osq=Restaurants,https://www.yelp.com/reservations/inca-paisa-astoria-queens-2,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,"Mon: 11:00 AM - 11:00 PM, Tue: 11:00 AM - 11:00 PM, Wed: 11:00 AM - 11:00 PM, Thu: 11:00 AM - 11:00 PM, Fri: 11:00 AM - 2:00 AM (Next day), Sat: 11:00 AM - 2:00 AM (Next day), Sun: 11:00 AM - 11:00 PM",,"21-19 BroadwayQueens, NY 11106"
Fogo de Chão Brazilian Steakhouse,Elmhurst,"Brazilian, Seafood, Steakhouses",4.1,"not allow Outdoor seating, allow Takeout",over $61,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-elmhurst-6?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,,,Not Found
Kyuramen - Forest Hills,Forest Hills,Ramen,4.0,allow Takeout,,https://www.yelp.com/biz/kyuramen-forest-hills-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,"Mon: 11:00 AM - 10:00 PM, Tue: 11:00 AM - 10:00 PM, Wed: 11:00 AM - 10:00 PM, Thu: 11:00 AM - 10:00 PM, Fri: 11:00 AM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 10:00 PM","Thai, Takoyaki, Fried Octopus Legs, Ika Geso Kara Age, Agedashi Tofu, Miso Ramen, Shio Ramen","108-50 Queens BlvdQueens, NY 11375"
