Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
Bloom Botanical Bistro,Forest Hills,"American (New), Cocktail Bars, Vegetarian",4.2,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/bloom-botanical-bistro-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Sofun Noodle Bar,Long Island City,Noodles,4.2,"√ Delivery, √ Takeout",,https://www.yelp.com/biz/sofun-noodle-bar-queens?osq=Restaurants,https://www.yelp.com/biz/Z_DdD4feQFczFOyOysZAOw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Paratha Wala,Forest Hills,"Indian, Halal, Bangladeshi",4.6,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/paratha-wala-forest-hills-2?osq=Restaurants,https://www.yelp.com/reservations/paratha-wala-forest-hills-2,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Nick’s Bistro,Forest Hills,"Greek, Falafel, Seafood",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/nick-s-bistro-forest-hills?osq=Restaurants,https://www.yelp.com/biz/JT-0_-OqmBLYzEvRhU-__w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Lime & Salt,,"New Mexican Cuisine, Mexican",4.4,"× Outdoor seating, √ Takeout",,https://www.yelp.com/biz/lime-and-salt-queens-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Carla,Long Island City,"American (New), Burgers, Cocktail Bars",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/carla-long-island-city?osq=Restaurants,https://www.yelp.com/biz/uQ0kF3fiJFDm0oDVRaMBkw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Selo,Astoria,Modern European,4.8,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/selo-astoria?osq=Restaurants,https://www.yelp.com/biz/o-N9S05IjZdEdzdO6DB3Bw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Inca Paisa Astoria,Astoria,"Peruvian, Colombian",5.0,"√ Delivery, √ Takeout",,https://www.yelp.com/biz/inca-paisa-astoria-queens-2?osq=Restaurants,https://www.yelp.com/reservations/inca-paisa-astoria-queens-2,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Fogo de Chão Brazilian Steakhouse,Elmhurst,"Brazilian, Seafood, Steakhouses",4.1,"× Outdoor seating, √ Takeout",$$$$,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-elmhurst-6?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
Kyuramen - Forest Hills,Forest Hills,Ramen,4.0,√ Takeout,,https://www.yelp.com/biz/kyuramen-forest-hills-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY
JoJu,Elmhurst,"Coffee & Tea, Vietnamese, Sandwiches",4.4,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/joju-elmhurst?osq=Restaurants,https://www.yelp.com/biz/JlFbaMbMzsu7FA307mUIqg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
That Place,Astoria,"Japanese, Sushi Bars",4.9,,$$$$,https://www.yelp.com/biz/that-place-astoria-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
La Sala by Tu Casa,Richmond Hill,"Wine Bars, Tapas Bars, Tapas/Small Plates",4.4,"√ Outdoor seating, × Delivery, √ Takeout",,https://www.yelp.com/biz/la-sala-by-tu-casa-kew-gardens-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Trestle,Astoria,"Cocktail Bars, American (New), Breakfast & Brunch",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/trestle-astoria?osq=Restaurants,https://www.yelp.com/reservations/trestle-astoria,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Triangolo Restaurant,Corona,"Italian, Tapas/Small Plates",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/triangolo-restaurant-corona-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Himitsu,Murray Hill,"Sushi Bars, Japanese, Thai",4.9,,,https://www.yelp.com/biz/himitsu-queens?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Mito,Forest Hills,"Japanese, Sushi Bars, Asian Fusion",4.2,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/mito-forest-hills?osq=Restaurants,https://www.yelp.com/biz/S1yH5vdJh2L2UIb7zJ2OHg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Bricklane Curry House,Sunnyside,Indian,5.0,"× Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/bricklane-curry-house-queens-2?osq=Restaurants,https://www.yelp.com/biz/aqqryBys95aNjYqri9OmJg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Daesung Korean Noodle,Murray Hill,"Korean, Soup, Noodles",4.5,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/daesung-korean-noodle-flushing-2?osq=Restaurants,https://www.yelp.com/biz/3nvwvbbkJN2Cyp1VUuG6rA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Kalye Bistro,Woodside,"Filipino, Comfort Food, Seafood",4.5,√ Outdoor seating,,https://www.yelp.com/biz/kalye-bistro-woodside?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=10
Fabrika,Jackson Heights,"Seafood, Cocktail Bars",4.3,"√ Outdoor seating, × Delivery, √ Takeout",$$$,https://www.yelp.com/biz/fabrika-jackson-heights-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20
JiangNan,Downtown Flushing,"Szechuan, Shanghainese, Asian Fusion",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/jiangnan-flushing-2?osq=Restaurants,https://www.yelp.com/biz/2UmeXoBQ6zRNn0Zv_VcAjw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20
Cabana,Forest Hills,"Latin American, Cuban, Caribbean",3.9,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/cabana-forest-hills?osq=Restaurants,https://www.yelp.com/biz/gEEqoeSekTOjRVmyY4fplA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Queens%2C+NY&start=20
