Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
The Richmond,Stapleton,American (New),4.5,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/the-richmond-staten-island?osq=Restaurants,https://www.yelp.com/biz/YOOZjCcC4s1MOBtFsaMB8w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Kujira Japanese cuisine,Great Kills,Japanese,4.8,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/kujira-japanese-cuisine-staten-island?osq=Restaurants,https://www.yelp.com/reservations/kujira-japanese-cuisine-staten-island,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Beso,,"Spanish, Tapas Bars, Bars",4.1,"√ Outdoor seating, √ Delivery, √ Takeout",$$$,https://www.yelp.com/biz/beso-staten-island?osq=Restaurants,https://www.yelp.com/biz/76B7-T4f1EdsQsoI0NM9Wg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
KPOT Korean BBQ & Hot Pot,Graniteville,"Hot Pot, Korean, Barbeque",4.1,,$$$,https://www.yelp.com/biz/kpot-korean-bbq-and-hot-pot-staten-island?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Pastavino,Stapleton,"Italian, Wine Bars",4.5,"√ Outdoor seating, × Delivery, √ Takeout",$$$,https://www.yelp.com/biz/pastavino-staten-island?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Taverna On The Bay,Stapleton,"Seafood, Mediterranean, Wine Bars",4.5,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/taverna-on-the-bay-staten-island-5?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Siu Kitchen,New Dorp,"Chinese, Hot Pot",4.7,"× Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/siu-kitchen-staten-island?osq=Restaurants,https://www.yelp.com/biz/sHUp0nIsZ0HbdnyqQVCYRg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Vitalia Restaurant,Charleston,Italian,4.3,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/vitalia-restaurant-staten-island?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Laila,,"Mediterranean, Syrian, Halal",4.5,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/laila-staten-island-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
Roscioli,South Village,Italian,4.8,,,https://www.yelp.com/biz/roscioli-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Staten%20Island%2C+NY
