Opening Hours,Popular Dishes,Detailed Address
"['Mon: Closed', 'Tue: 5:00 PM - 9:30 PM', 'Wed: 5:00 PM - 9:30 PM', 'Thu: 5:00 PM - 10:30 PM', 'Fri: 5:00 PM - 10:30 PM', 'Sat: 5:00 PM - 10:30 PM', 'Sun: 11:00 AM - 8:30 PM']","['Bourbon Braised Short Rib', 'Yellowfin Tuna Tartare', 'Classic French Onion Soup', 'Buttermilk Fried Chicken', 'Roasted Organic Chicken Breast', 'Fish Tacos', 'Banana Tiramisu', 'Pierogies']","695 Bay St, Staten Island, NY 10304"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: Closed', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 11:30 AM - 10:00 PM', 'Sat: 11:30 AM - 10:00 PM', 'Sun: 11:30 AM - 10:00 PM']","['Skewers', 'Tonkotsu Ramen', 'Angry Dragon Roll Shrimp Tempura', 'Mala Ramen', 'Bento', 'Christmas Roll', 'Green Salad', 'Hamachi Kama', 'Kujira Roll', 'Gyoza']","307 Nelson Ave, Staten Island, NY 10308"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 11:30 AM - 11:00 PM', 'Sat: 11:30 AM - 11:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Lamb Chops', 'Paella', 'Gambas', 'Relleno De Gambas', 'Chorizo', 'Empanadas', 'Ceviche', 'Quesadilla', 'Coconut Flan', 'Maduro', 'Queso Frito', 'Seafood Avocado', 'Bistek']","70 Bay St, Staten Island, NY 10301"
"['Mon: 12:00 PM - 10:30 PM', 'Tue: 12:00 PM - 10:30 PM', 'Wed: 12:00 PM - 10:30 PM', 'Thu: 12:00 PM - 10:30 PM', 'Fri: 12:00 PM - 11:30 PM', 'Sat: 12:00 PM - 11:30 PM', 'Sun: 12:00 PM - 10:30 PM']",[],"1756 Forest Ave, Store 1"
"['Mon: 5:00 PM - 9:00 PM', 'Tue: 5:00 PM - 9:00 PM', 'Wed: 5:00 PM - 9:00 PM', 'Thu: 5:00 PM - 9:00 PM', 'Fri: 5:00 PM - 10:00 PM', 'Sat: 1:00 PM - 10:00 PM', 'Sun: 1:00 PM - 9:00 PM']","['Burrata', 'Rigatoni E Burrata', 'Chittara Cacio E Pepe', 'Polpette']","44 Navy Pier Ct, Staten Island, NY 10304"
"['Mon: Closed', 'Tue: 12:00 PM - 9:00 PM', 'Wed: 12:00 PM - 9:00 PM', 'Thu: 12:00 PM - 9:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 8:00 PM']","['Grilled Octopus', 'Chilean Sea Bass', 'Stuffed Mushrooms', 'Lamb Shank', 'Seafood Risotto', 'Shrimp Ajillo', 'Lobster Bisque', 'Fried Calamari', 'Penne Vodka', 'Lobster Tails', 'Lamb Ragu', 'Black Squid Ink Pasta Seafood', 'Branzino', 'Squid Ink Linguine', 'Crab Cakes', 'Greek Salad', 'Black Linguini', 'Saffron Risotto', 'Tuna Tartare', 'Cavatelli']","661 Bay St, Staten Island, NY 10304"
"['Mon: 12:00 PM - 10:00 PM', 'Tue: 12:00 PM - 10:00 PM', 'Wed: 12:00 PM - 10:00 PM', 'Thu: 12:00 PM - 10:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Coconut Chicken Pot', 'Spicy Chicken Pot', 'Duo Pot']","331 New Dorp Ln, Staten Island, NY 10306"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 12:00 PM - 2:00 AM (Next day)', 'Sat: 12:00 PM - 2:00 AM (Next day)', 'Sun: 11:30 AM - 8:00 PM']","['Braised Short Ribs', 'Vitalia Pork Chop', 'Avocado Salad', 'Caesar Salad', 'Frutti Di Mare', 'Reverse Sear 22 Oz Cowboy Rib Eye', 'Frito Misto']","2935K Veterans Rd W, Staten Island, NY 10309"
"['Mon: Closed', 'Tue: 12:00 PM - 9:00 PM', 'Wed: 12:00 PM - 9:00 PM', 'Thu: 12:00 PM - 9:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 11:00 PM', 'Sun: 12:00 PM - 8:00 PM']","['Chicken Shawarma', 'Kibbeh', 'Mini Pies', 'Borak', 'Muhamara', 'Labneh', 'Filet Mignon Sandwich', 'Fattet Mozat']","45 Page Ave, Ste C"
[],[],"43 MacDougal St, New York, NY 10011"
