Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL,Opening Hours,Popular Dishes,Detailed Address
Antonio’s Trattoria,Belmont,"Italian, Pizza, Desserts",4.5,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/antonios-trattoria-bronx?osq=Restaurants,https://www.yelp.com/biz/b6jOwyX4iaagw8YjXqq1sA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: 11:30 AM - 9:00 PM, Tue: 11:30 AM - 9:00 PM, Wed: 11:30 AM - 9:00 PM, Thu: 11:30 AM - 9:00 PM, Fri: 11:30 AM - 10:00 PM, Sat: 11:30 AM - 10:00 PM, Sun: 12:00 PM - 8:15 PM","Short Ribs, Veal Meatballs, Fried Calamari, Chicken Parm, Frutti Di Mare, Nutella Pizza, Gnocchi Alla Boscaiola, Baked Clams, Chicken Parmigiana, Cold Antipasto, Fettuccine Alfredo, Shrimp Scampi, Eggplant Parm, Veal Marsala, Spaghetti and Meatballs, Margherita Pizza, Hot Antipasto, Fresh Pasta Alfredo, Veal Saltimbocca, Chicken Quattro Formaggi","2370 Belmont AveBronx, NY 10458"
Izakaya Nana,Downtown Flushing,Izakaya,4.5,"not allow Outdoor seating, not allow Delivery, not allow Takeout",$31-60,https://www.yelp.com/biz/izakaya-nana-flushing?osq=Restaurants,https://www.yelp.com/reservations/izakaya-nana-flushing,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: 4:00 PM - 2:00 AM (Next day), Tue: 4:00 PM - 2:00 AM (Next day), Wed: 4:00 PM - 2:00 AM (Next day), Thu: 4:00 PM - 2:00 AM (Next day), Fri: 4:00 PM - 2:00 AM (Next day), Sat: 4:00 PM - 2:00 AM (Next day), Sun: 4:00 PM - 2:00 AM (Next day)",,"141-26 Northern BlvdFlushing, NY 11354"
KPOT Korean BBQ & Hot Pot,,"Korean, Barbeque, Hot Pot",3.8,not allow Delivery,,https://www.yelp.com/biz/kpot-korean-bbq-and-hot-pot-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: 12:00 PM - 10:30 PM, Tue: 12:00 PM - 10:30 PM, Wed: 12:00 PM - 10:30 PM, Thu: 12:00 PM - 10:30 PM, Fri: 12:00 PM - 11:30 PM, Sat: 12:00 PM - 11:30 PM, Sun: 12:00 PM - 10:30 PM",,"200 Baychester AveBay Plaza MallBronx, NY 10475"
Enzos of Arthur Avenue,Belmont,"Italian, Pizza, Venues & Event Spaces",3.9,"allow Outdoor seating, allow Takeout",$11-30,https://www.yelp.com/biz/enzos-of-arthur-avenue-bronx-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: 11:30 AM - 10:00 PM, Tue: 11:30 AM - 10:00 PM, Wed: 11:30 AM - 10:00 PM, Thu: 11:30 AM - 10:00 PM, Fri: 11:30 AM - 10:00 PM, Sat: 11:30 AM - 10:00 PM, Sun: 12:00 PM - 9:00 PM","Arthur Ave Pizza, Fried Meatballs, Chicken Parm, Chicken Parmigiana, Fried Calamari, Veal Parmigiana, Chocolate Mousse Cake, Rigatoni Bolognese, Linguine White Clam, Stuffed Artichoke, Bread Basket, Pasta Al Forno, Chilean Sea Bass, Cannoli, Chicken Francese","2339 Arthur AveBronx, NY 10458"
The Bronx Public,,"Sports Bars, American (Traditional)",4.1,"allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/the-bronx-public-bronx?osq=Restaurants,https://www.yelp.com/biz/KAxYFGyOQ7ysCmYmh8jKtw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: 4:00 PM - 12:00 AM (Next day), Tue: 4:00 PM - 12:00 AM (Next day), Wed: 4:00 PM - 12:00 AM (Next day), Thu: 4:00 PM - 1:00 AM (Next day), Fri: 4:00 PM - 2:00 AM (Next day), Sat: 12:00 PM - 2:00 AM (Next day), Sun: 12:00 PM - 12:00 AM (Next day)",,"170 W 231st StBronx, NY 10463"
Johnny’s Reef Restaurant,,Seafood,3.8,"allow Outdoor seating, allow Takeout",$11-30,https://www.yelp.com/biz/johnnys-reef-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: 11:30 AM - 10:00 PM, Tue: 11:30 AM - 10:30 PM, Wed: 11:30 AM - 10:30 PM, Thu: 11:30 AM - 10:30 PM, Fri: 11:30 AM - 11:30 PM, Sat: 11:30 AM - 11:30 PM, Sun: 11:30 AM - 10:30 PM","Fried Shrimp, Fried Lobster Tails, Rum Pina Colada, Soft Shell Crab, Clam Chowder, Pina Coladas, Fried Fish, Raw Clams, Fried Scallops, Cherry Stone Clams, Frog Legs, Fried Calamari, Dozen Little Necks, Fried Clam Strips, Steamed Shrimp, Snow Crab Legs, Red Snapper, Steamed Clams, Fried Chicken Liver, Fried Whiting","2 City Island AveBronx, NY 10464"
La Masa,Morris Park,"Colombian, Empanadas",3.9,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/la-masa-bronx-3?osq=Restaurants,https://www.yelp.com/biz/By2Zl1imtu0SpA4IBziN1g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: 10:00 AM - 9:00 PM, Tue: 10:00 AM - 9:00 PM, Wed: 10:00 AM - 9:00 PM, Thu: 10:00 AM - 11:00 PM, Fri: 10:00 AM - 11:00 PM, Sat: 10:00 AM - 11:00 PM, Sun: 10:00 AM - 9:00 PM","Empanadas, Maduro Relleno, Cilantro Lime Chicken, Apple Pie Empanada, Cache, Chicken Soup, Picada, Chicharron","1000 Morris Park AveBronx, NY 10462"
Bed - Stuy Fish Fry,Co-op City,Soul Food,3.0,,,https://www.yelp.com/biz/bed-stuy-fish-fry-the-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,,"Oxtails, Candied Yams, Fried Chicken, Baked Chicken, Fried Catfish, Shrimp Fried Rice","2214 Bartow AveThe Bronx, NY 10475"
Fiorentina Steakhouse,Schuylerville,Steakhouses,4.8,"not allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/fiorentina-steakhouse-the-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,"Mon: Closed, Tue: 12:00 PM - 9:30 PM, Wed: 12:00 PM - 9:30 PM, Thu: 12:00 PM - 9:30 PM, Fri: 12:00 PM - 10:00 PM, Sat: 12:00 PM - 10:00 PM, Sun: 12:00 PM - 9:00 PM",,"3617 E Tremont AveThe Bronx, NY 10465"
D Melting Pot,Morris Park,"American (Traditional), Juice Bars & Smoothies, Seafood",4.6,"allow Delivery, allow Takeout",,https://www.yelp.com/biz/d-melting-pot-the-bronx-2?osq=Restaurants,https://www.yelp.com/biz/ZwgAlbZ3_ZQlsWJib6RzcA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY,,,"2049 Williamsbridge RdThe Bronx, NY 10461"
Hudson Smokehouse,Mott Haven,"Barbeque, Steakhouses",4.0,"allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/hudson-smokehouse-bronx?osq=Restaurants,https://www.yelp.com/biz/QAMCE2DqumRQqa51hqmpkQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: Closed, Tue: 11:00 AM - 9:00 PM, Wed: 11:00 AM - 9:00 PM, Thu: 11:00 AM - 9:00 PM, Fri: 11:00 AM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 9:00 PM",,"37 Bruckner BlvdBronx, NY 10454"
Bronx Drafthouse,Concourse Village,"American (New), Beer Bar, Sports Bars",4.0,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/bronx-drafthouse-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: 11:30 AM - 2:00 AM (Next day), Tue: 11:30 AM - 2:00 AM (Next day), Wed: 11:30 AM - 2:00 AM (Next day), Thu: 11:30 AM - 2:00 AM (Next day), Fri: 11:30 AM - 4:00 AM (Next day), Sat: 11:30 AM - 4:00 AM (Next day), Sun: 11:30 AM - 2:00 AM (Next day)","Crispy Chicken Fingers, Piri Piri Chicken Sandwich, Drafthouse Burger","884 Gerard AveBronx, NY 10452"
Taqueria Tlaxcalli,Parkchester,Mexican,4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/taqueria-tlaxcalli-bronx-3?osq=Restaurants,https://www.yelp.com/biz/2iqsjuh8Mpm_3p6s-G9zkQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: 10:00 AM - 12:00 AM (Next day), Tue: 10:00 AM - 12:00 AM (Next day), Wed: 10:00 AM - 12:00 AM (Next day), Thu: 10:00 AM - 12:00 AM (Next day), Fri: 10:00 AM - 1:00 AM (Next day), Sat: 10:00 AM - 1:00 AM (Next day), Sun: 10:00 AM - 12:00 AM (Next day)","Quesadilla, Enchiladas, Tostadas, Sopes, Chilaquiles","2103 Starling AveBronx, NY 10462"
The Rail House 10803,,"American (Traditional), Bars, Venues & Event Spaces",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/the-rail-house-10803-pelham?osq=Restaurants,https://www.yelp.com/biz/KYcrVvKkzuZBlASj35Q16w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: 12:00 PM - 10:00 PM, Tue: 9:00 AM - 5:00 PM, Wed: 12:00 PM - 10:00 PM, Thu: 12:00 PM - 10:00 PM, Fri: 11:00 AM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 10:00 PM","Braised Short Rib, Short Ribs Empanada, Beet and Kale Salad, Chicken Dumplings, Branzino, Chicken Milanese Tacos, Cavatelli, Grilled Octopus, Ny Strip Steak, Wasabi Tuna, Mojito Chicken, Shishito, Zeppoles, Drunken Pasta, Fried Calamari, Meatball, Shrimp Tacos, Filet Mignon, Caesar Salad, Grilled Chicken","65 1st StPelham, NY 10803"
Sofun Noodle Bar,Long Island City,Noodles,4.2,"allow Delivery, allow Takeout",,https://www.yelp.com/biz/sofun-noodle-bar-queens?osq=Restaurants,https://www.yelp.com/biz/Z_DdD4feQFczFOyOysZAOw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,,,"4340 12th StQueens, NY 11101"
The Boogie Down Grind,Longwood,"Coffee & Tea, Cafes, Beer, Wine & Spirits",4.6,"allow Outdoor seating, allow Delivery, allow Takeout",below $10,https://www.yelp.com/biz/the-boogie-down-grind-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: 7:00 AM - 4:00 PM, Tue: 7:00 AM - 4:00 PM, Wed: 7:00 AM - 4:00 PM, Thu: 7:00 AM - 4:00 PM 6:00 PM - 11:00 PM, Fri: 7:00 AM - 4:00 PM, Sat: Closed, Sun: Closed",,"868 Hunts Point AveBronx, NY 10474"
Bronx Alehouse,Kingsbridge,"American (Traditional), Pubs",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/bronx-alehouse-bronx-2?osq=Restaurants,https://www.yelp.com/biz/ciHt5n5rmpby1YcC_6JVrg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: 11:00 AM - 11:30 PM, Tue: 11:00 AM - 11:30 PM, Wed: 11:00 AM - 11:30 PM, Thu: 11:00 AM - 11:30 PM, Fri: 11:00 AM - 1:30 AM (Next day), Sat: 11:00 AM - 1:30 AM (Next day), Sun: 11:00 AM - 11:30 PM","Chicken and Waffles Sandwich, Fried Mac, Chicken Wings, Pulled Pork Sandwich, Jerk Chicken, Veggie Burger, Southwest Bronx Bombers","216 W 238th StBronx, NY 10463"
Lechonera La Piraña,Mott Haven,Puerto Rican,4.7,"allow Delivery, allow Takeout",below $10,https://www.yelp.com/biz/lechonera-la-pira%C3%B1a-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: Closed, Tue: Closed, Wed: Closed, Thu: Closed, Fri: Closed, Sat: 12:00 PM - 6:00 PM, Sun: 12:30 PM - 6:00 PM","Lechon, Arroz Con, Octopus Salad, Empanadas, Enselada De Pulpo, Pulpo Salad, Roast Pig","766 E 152nd StBronx, NY 10455"
Tobalá,Riverdale,"Mexican, Cocktail Bars",4.5,"allow Outdoor seating, allow Takeout",,https://www.yelp.com/biz/tobal%C3%A1-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: 5:00 PM - 11:45 PM, Tue: 5:00 PM - 11:45 PM, Wed: 5:00 PM - 11:45 PM, Thu: 5:00 PM - 11:45 PM, Fri: 5:00 PM - 2:00 AM (Next day), Sat: 5:00 PM - 2:00 AM (Next day), Sun: 5:00 PM - 11:45 PM","Tamal De Pina, Enmolado De Pato, Lamb Tacos, Octopus, Fish Tacos, Cornish Hen, Goddess Centeotl, Papas Rotizadas, Mariposa, Ceviche De Camarones","3732 Riverdale AveBronx, NY 10463"
Con Sofrito,Unionport,"American (Traditional), Puerto Rican, Chicken Wings",3.7,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/con-sofrito-bronx?osq=Restaurants,https://www.yelp.com/biz/ti-anrkwIIBd_L7fT9gKQA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=10,"Mon: 3:00 PM - 12:00 AM (Next day), Tue: 11:30 AM - 12:00 AM (Next day), Wed: 11:30 AM - 12:00 AM (Next day), Thu: 11:30 AM - 1:00 AM (Next day), Fri: 11:30 AM - 2:00 AM (Next day), Sat: 11:30 AM - 2:00 AM (Next day), Sun: 12:00 PM - 1:00 AM (Next day)","Catfish Fingers, Crack Wings, Tres Leches, Crispy Calamari, Grilled Skirt Steak, Shrimp Mofongo, Pan-seared Salmon","1315 Commerce AveBronx, NY 10461"
Dominick’s Restaurant,Belmont,Italian,3.8,"allow Outdoor seating, not allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/dominicks-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,"Mon: 12:00 PM - 9:30 PM, Tue: 12:00 PM - 9:30 PM, Wed: 12:00 PM - 9:30 PM, Thu: 12:00 PM - 9:30 PM, Fri: 12:00 PM - 9:30 PM, Sat: 12:00 PM - 10:00 PM, Sun: 1:00 PM - 8:30 PM","Baked Clams, Stuffed Artichoke, Pork Chops Pizzaiola, Chicken Scarpariello, Fried Calamari, Linguini W/ Shrimp And Calamari, Chicken Marsala, Chicken Parmigiana, Lasagna, Chicken Rollatini, Baked Ziti, Ravioli, Veal Marsala","2335 Arthur AveBronx, NY 10458"
Nana’s Kitchen,Morris Park,Mediterranean,4.5,"allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/nanas-kitchen-bronx?osq=Restaurants,https://www.yelp.com/biz/sri-S6YRQ32XsvdO-EB3IA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=20,"Mon: 9:00 AM - 10:00 PM, Tue: 9:00 AM - 10:00 PM, Wed: 9:00 AM - 10:00 PM, Thu: 9:00 AM - 10:00 PM, Fri: 9:00 AM - 11:00 PM, Sat: 9:00 AM - 11:00 PM, Sun: 9:00 AM - 10:00 PM","Grilled Chicken, Qofte, Suxhuk, Baklava","1809 Hone AveBronx, NY 10461"
