Name,Address,Cuisine Tags,Rating,Features,Opening Hours,Price Range,Detail URL,Reservation Link,Source URL
Valerie,Midtown West,"American (New), Cocktail Bars",4.3,"not allow Outdoor seating, not allow Delivery, not allow Takeout",Midtown West,$11-30,https://www.yelp.com/biz/valerie-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
La Grande Boucherie,Theater District,"French, Steakhouses, Cocktail Bars",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",Theater District,$31-60,https://www.yelp.com/biz/la-grande-boucherie-new-york-2?osq=Restaurants,https://www.yelp.com/biz/DGhWO1sUWydVeR5j5ZZaMw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Blue Willow 夜来湘,Midtown West,Szechuan,4.4,"allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?osq=Restaurants,https://www.yelp.com/biz/XsXLVWr1UZWVhKThNvNiaA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
OBAO,Midtown West,"Vietnamese, Thai, Asian Fusion",4.0,"not allow Outdoor seating, allow Delivery, allow Takeout",Midtown West,$11-30,https://www.yelp.com/biz/obao-new-york-3?osq=Restaurants,https://www.yelp.com/biz/NN3mOWF5e_pnR1ArqM2bHQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Olio e Più,,"Pizza, Italian, Cocktail Bars",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",,$11-30,https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
The Consulate - Midtown,Midtown West,"French, American (New), Cocktail Bars",4.8,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/the-consulate-midtown-new-york?osq=Restaurants,https://www.yelp.com/biz/11Nbr2oTRB5Uqi36L8if8g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Calle Dao - Chelsea,Chelsea,"Cuban, Chinese, Asian Fusion",4.5,"not allow Outdoor seating, allow Delivery, allow Takeout",Chelsea,$11-30,https://www.yelp.com/biz/calle-dao-chelsea-new-york-3?osq=Restaurants,https://www.yelp.com/biz/pBNMZp_tKCAfRNx7-ybcHQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
RH Rooftop Restaurant New York,Meatpacking District,"American (Traditional), Wine Bars",4.1,"allow Outdoor seating, not allow Delivery, not allow Takeout",Meatpacking District,$31-60,https://www.yelp.com/biz/rh-rooftop-restaurant-new-york-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
The Reading Room,Midtown East,"American (New), Cocktail Bars, Breakfast & Brunch",4.7,"not allow Outdoor seating, allow Takeout",,,https://www.yelp.com/biz/the-reading-room-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
The Smith,Midtown East,"American (New), Breakfast & Brunch, Cocktail Bars",4.0,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown East,$31-60,https://www.yelp.com/biz/the-smith-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Thai Villa,Flatiron,Thai,4.4,"allow Outdoor seating, allow Delivery, allow Takeout",Flatiron,$11-30,https://www.yelp.com/biz/thai-villa-new-york-2?osq=Restaurants,https://www.yelp.com/biz/B3_K2kUVbYOU0VaLcj_LTw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
The Smith,Upper West Side,"American (New), Breakfast & Brunch, Cocktail Bars",3.8,"allow Outdoor seating, allow Delivery",Upper West Side,$11-30,https://www.yelp.com/biz/the-smith-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
LoveMama,East Village,"Thai, Malaysian, Vietnamese",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",East Village,$11-30,https://www.yelp.com/biz/lovemama-new-york?osq=Restaurants,https://www.yelp.com/reservations/lovemama-new-york,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Mr. Sun,Midtown West,"Dim Sum, Seafood",4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",Midtown West,$11-30,https://www.yelp.com/biz/mr-sun-new-york?osq=Restaurants,https://www.yelp.com/reservations/mr-sun-new-york,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
LumLum,Hell's Kitchen,Thai,4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",Hell's Kitchen,$11-30,https://www.yelp.com/biz/lumlum-new-york?osq=Restaurants,https://www.yelp.com/biz/7xe5Pd4fvN2vo05FP2XOeg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Little Collins,Midtown East,"Coffee & Tea, Breakfast & Brunch, Sandwiches",4.4,"allow Outdoor seating, allow Takeout",Midtown East,$11-30,https://www.yelp.com/biz/little-collins-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Very Fresh Noodles,Meatpacking District,"Taiwanese, Chinese, Noodles",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",Meatpacking District,$11-30,https://www.yelp.com/biz/very-fresh-noodles-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Osamil,Koreatown,"Korean, Gastropubs, Tapas/Small Plates",4.3,"allow Outdoor seating, allow Takeout",Koreatown,$11-30,https://www.yelp.com/biz/osamil-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Shukette,Chelsea,Middle Eastern,4.4,"allow Outdoor seating, not allow Delivery, allow Takeout",Chelsea,$31-60,https://www.yelp.com/biz/shukette-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
