Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
Valerie,Midtown West,"American (New), Cocktail Bars",4.3,"× Outdoor seating, × Delivery, × Takeout",$$,https://www.yelp.com/biz/valerie-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Da Andrea,Greenwich Village,"Italian, Mediterranean, Breakfast & Brunch",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/da-andrea-new-york?osq=Restaurants,https://www.yelp.com/reservations/da-andrea-new-york,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
The Reading Room,Midtown East,"American (New), Cocktail Bars, Breakfast & Brunch",4.7,"× Outdoor seating, √ Takeout",,https://www.yelp.com/biz/the-reading-room-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
RH Rooftop Restaurant New York,Meatpacking District,"American (Traditional), Wine Bars",4.1,"√ Outdoor seating, × Delivery, × Takeout",$$$,https://www.yelp.com/biz/rh-rooftop-restaurant-new-york-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
The Smith,Midtown East,"American (New), Breakfast & Brunch, Cocktail Bars",4.0,"√ Outdoor seating, √ Delivery, √ Takeout",$$$,https://www.yelp.com/biz/the-smith-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Thai Villa,Flatiron,Thai,4.4,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/thai-villa-new-york-2?osq=Restaurants,https://www.yelp.com/biz/B3_K2kUVbYOU0VaLcj_LTw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
The Consulate - Midtown,Midtown West,"French, American (New), Cocktail Bars",4.8,"× Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/the-consulate-midtown-new-york?osq=Restaurants,https://www.yelp.com/biz/11Nbr2oTRB5Uqi36L8if8g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Maison Pickle,Upper West Side,"Cocktail Bars, Comfort Food, Breakfast & Brunch",4.3,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/maison-pickle-new-york?osq=Restaurants,https://www.yelp.com/biz/XsElXaLxUPKquI78poB8yw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Osteria La Baia,Theater District,Italian,4.4,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/osteria-la-baia-new-york?osq=Restaurants,https://www.yelp.com/biz/OWNmOq-TAsHjGcYdCVclSw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
LumLum,Hell's Kitchen,Thai,4.4,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/lumlum-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY
Osteria La Baia,Theater District,Italian,4.4,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/osteria-la-baia-new-york?osq=Restaurants,https://www.yelp.com/biz/OWNmOq-TAsHjGcYdCVclSw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
LumLum,Hell's Kitchen,Thai,4.4,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/lumlum-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Friedman’s,Midtown West,"American (New), Breakfast & Brunch, Wine Bars",4.0,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/friedmans-new-york-71?osq=Restaurants,https://www.yelp.com/biz/cCesIqo-LQt0cRlZAnrAZQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Anytime Kitchen,Koreatown,"Korean, Tapas/Small Plates, Barbeque",4.6,× Outdoor seating,$$,https://www.yelp.com/biz/anytime-kitchen-new-york-2?osq=Restaurants,https://www.yelp.com/reservations/anytime-kitchen-new-york-2,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Zou Zou’s,Chelsea,"Mediterranean, Cocktail Bars, American (New)",4.1,"√ Outdoor seating, × Delivery, × Takeout",$$$,https://www.yelp.com/biz/zou-zou-s-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Shukette,Chelsea,Middle Eastern,4.4,"√ Outdoor seating, × Delivery, √ Takeout",$$$,https://www.yelp.com/biz/shukette-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
Mr. Sun,Midtown West,"Dim Sum, Seafood",4.4,"× Outdoor seating, × Delivery, √ Takeout",$$,https://www.yelp.com/biz/mr-sun-new-york?osq=Restaurants,https://www.yelp.com/reservations/mr-sun-new-york,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=10
