Opening Hours,Popular Dishes,Detailed Address
"['Mon: 11:30 AM - 12:00 AM (Next day)', 'Tue: 11:30 AM - 2:00 AM (Next day)', 'Wed: 11:30 AM - 2:00 AM (Next day)', 'Thu: 11:30 AM - 2:00 AM (Next day)', 'Fri: 11:30 AM - 2:00 AM (Next day)', 'Sat: 11:00 AM - 2:00 AM (Next day)', 'Sun: 11:00 AM - 12:00 AM (Next day)']","['Short Rib', 'Duck Wings', 'Tuna Tartare', 'Shrimp Bao Buns', 'Crab Cake Benedict', 'Maryland Crab Cakes', 'French Toast', 'Black Fig Flatbread', 'Beet Salad', 'American']","45 W 45th St between 5th & 6th AveNew York, NY 10036"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 11:30 AM - 11:00 PM', 'Sat: 11:00 AM - 11:00 PM', 'Sun: 11:00 AM - 10:00 PM']","['Warm Octopus Salad', 'Squid Ink Pasta', 'Cavatelli Di Ricotta', 'Homemade Pasta', 'Flat Buns', 'Veal Ravioli', 'Spaghetti Bolognese', 'Zuppa Di Pesce', 'Grilled Calamari', 'Pork Chop', 'Panna Cotta', 'Artichoke Ravioli', 'Lamb Shank', 'Squid Ink Tagliolini', 'Stuffed Chicken Breast', 'Spicy Tomato Penne']","35 W 13th StNew York, NY 10011"
"['Mon: 7:00 AM - 11:00 AM 12:00 PM - 3:00 PM 4:30 PM - 10:30 PM', 'Tue: 7:00 AM - 11:00 AM 12:00 PM - 3:00 PM 4:30 PM - 10:30 PM', 'Wed: 7:00 AM - 11:00 AM 12:00 PM - 3:00 PM 4:30 PM - 10:30 PM', 'Thu: 7:00 AM - 11:00 AM 12:00 PM - 3:00 PM 4:30 PM - 10:30 PM', 'Fri: 7:00 AM - 11:00 AM 12:00 PM - 3:00 PM 4:30 PM - 10:30 PM', 'Sat: 7:00 AM - 11:00 AM 4:30 PM - 10:30 PM', 'Sun: 8:00 AM - 12:00 PM']","['Braised Short Rib Risotto', 'Rib Eye', 'Oysters', 'Grilled Octopus', 'Blue Gem Salad', 'Peri Peri Chicken', 'Ricotta Gnocchi', 'Crispy Eggs Benedict', 'G & H Burger', 'Steak and Eggs', 'Watermelon Sorbet', 'Tobiko', 'Filet', 'French Toast', 'Steak on Toast', 'Hanger Steak']","16 E 46th StNew York, NY 10017"
"['Mon: 10:00 AM - 9:00 PM', 'Tue: 10:00 AM - 9:00 PM', 'Wed: 10:00 AM - 9:00 PM', 'Thu: 10:00 AM - 9:00 PM', 'Fri: 10:00 AM - 9:00 PM', 'Sat: 10:00 AM - 9:00 PM', 'Sun: 10:00 AM - 9:00 PM']","['Lobster Roll', 'Rh Burger', 'Avocado Toast', 'Shaved Ribeye Sandwich', 'Kale Caesar Salad', 'Thick Cut Pork Belly Bacon', 'Roasted Half Chicken', 'Arugula Salad', 'Crispy Artichokes', 'Smoked Salmon', 'Truffle Grilled Sandwich', 'Soft Scrambled Eggs', 'Banana Split', 'Fried Artichoke', 'Gem Lettuce Salad', 'Rh Scramble']","9 9th AveNew York, NY 10014"
"['Mon: 8:00 AM - 11:00 PM', 'Tue: 8:00 AM - 11:00 PM', 'Wed: 8:00 AM - 11:00 PM', 'Thu: 8:00 AM - 11:00 PM', 'Fri: 8:00 AM - 11:00 PM', 'Sat: 9:00 AM - 11:00 PM', 'Sun: 9:00 AM - 11:00 PM']","['French Toast', 'Eggs Benedict', 'Avocado Toast', 'Sicilian Baked Eggs', 'Baked Egg Florentine', 'Braised Short Ribs', 'Poached Eggs', 'Spicy Salmon Tartare', 'Steak and Eggs', 'Smith Burger', 'Grilled Chicken Sandwich', 'Maple Chicken Sausage', 'Benedict Johnny', 'Kale and Quinoa Salad', 'Egg White Omelette', 'Tomato Soup', 'Ricotta Gnocchi', 'Ranchero Scramble', 'Pork Chop', 'Lobster Roll']","956 2nd AveNew York, NY 10022"
"['Mon: 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM', 'Tue: 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM', 'Wed: 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM', 'Thu: 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM', 'Fri: 11:30 AM - 3:15 PM 4:30 PM - 10:30 PM', 'Sat: 11:30 AM - 3:15 PM 4:30 PM - 10:30 PM', 'Sun: 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM']",[],"5 E 19th StG FloorNew York, NY 10003"
"['Mon: 11:00 AM - 10:00 PM', 'Tue: 11:00 AM - 10:00 PM', 'Wed: 11:00 AM - 10:00 PM', 'Thu: 11:00 AM - 10:00 PM', 'Fri: 11:00 AM - 10:00 PM', 'Sat: 10:00 AM - 10:00 PM', 'Sun: 10:00 AM - 10:00 PM']",[],"44 W 56th StNew York, NY 10019"
"['Mon: 11:00 AM - 10:00 PM', 'Tue: 11:00 AM - 10:00 PM', 'Wed: 11:00 AM - 10:00 PM', 'Thu: 11:00 AM - 10:00 PM', 'Fri: 11:00 AM - 10:00 PM', 'Sat: 9:00 AM - 10:00 PM', 'Sun: 9:00 AM - 10:00 PM']","['24 Layer Vanilla Confetti Cake', 'French Onion Soup Au Gratin', 'Patty Melt', 'Hot Honey Chicken and Toast', 'Caesar Salad', 'Croque Madame', 'Steak Frites', 'Steak And Eggs', 'Oreo Ice Box Pie', ""Hot Honey Chicken 'n' Toast"", 'Smoked Salmon Platter', 'Bacon Steak', 'Shrimp Pillow Dumplings']","2315 BroadwayNew York, NY 10024"
"['Mon: 11:30 AM - 2:30 PM 5:00 PM - 10:00 PM', 'Tue: 11:30 AM - 2:30 PM 5:00 PM - 10:00 PM', 'Wed: 11:30 AM - 2:30 PM 5:00 PM - 10:00 PM', 'Thu: 11:30 AM - 2:30 PM 5:00 PM - 10:00 PM', 'Fri: 11:30 AM - 2:30 PM 5:00 PM - 10:00 PM', 'Sat: 4:00 PM - 10:00 PM', 'Sun: 5:00 PM - 9:00 PM']","['Burrata', 'Lobster Garganelli Calabrese', 'Grilled Octopus', 'Red Snapper Crudo', 'Lobster Pasta', 'Margherita Pizza', 'Tuna Tartare', 'Rigatoni Alla Norma', 'Lamb Chops', 'Pappardelle Bolognese', 'West Coast Oysters', 'Carnaroli Risotto', 'Italian Siesta', 'Orchiette Pasta', 'Branzino', 'Beef Carpaccio', 'Caviar Pizza', 'Chocolate Budino', 'Semifreddo']","129 W 52nd StNew York, NY 10019"
"['Mon: 12:00 PM - 10:00 PM', 'Tue: 12:00 PM - 10:00 PM', 'Wed: 12:00 PM - 10:00 PM', 'Thu: 12:00 PM - 10:00 PM', 'Fri: 12:00 PM - 11:00 PM', 'Sat: 12:00 PM - 11:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Crying Tiger Special', 'Khao Soi Gai Special', 'Pad See Ew', 'Pad Thai', 'Steamed Fish with Thai Herbs Special', 'Pad Ki Mao', 'Bua Loy', 'Fried Fish with Chu Cherry Curry Special', 'Goong Yang', 'Muk Tom Nam Dum', 'Tom Yum Noodle Soup', 'Tom Kha Kai', 'Khai Jeaw Poo']","404 W 49thNew York, NY 10019"
